Team,Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
Germany,07/09/2024,Hungary,42,W,23,9,5,6,1,0
Germany,05/07/2024,Spain,2,L,23,5,1,18,6,2
Germany,29/06/2024,Denmark,20,W,15,9,2,11,2,0
Ghana,30/03/2026,Germany,10,L,6,1,1,23,6,2
Ghana,27/03/2026,Austria,24,L,5,1,1,11,7,5
Ghana,18/11/2025,South Korea,25,L,12,1,0,7,4,1
Ghana,14/11/2025,Japan,18,L,7,2,0,14,5,2
Ghana,12/10/2025,Comoros,109,W,2,2,1,4,1,0
Ghana,08/10/2025,Central African Republic,139,W,18,11,5,2,0,0
Ghana,08/09/2025,Mali,52,W,6,2,1,9,4,0
Ghana,04/09/2025,Chad,183,D,6,2,1,8,2,1
Ghana,24/03/2025,Madagascar,104,W,7,5,3,7,2,0
Ghana,21/03/2025,Chad,183,W,10,5,5,1,0,0
Ghana,18/11/2024,Niger,114,L,12,3,1,11,5,2
Ghana,15/11/2024,Angola,89,D,8,1,1,13,4,1
Ghana,15/10/2024,Sudan,117,L,7,1,0,11,5,2
Ghana,10/10/2024,Sudan,117,D,18,7,0,6,4,0
Ghana,09/09/2024,Niger,114,D,6,3,1,14,3,1
Ghana,05/09/2024,Angola,89,L,20,5,0,12,5,1
Ghana,10/06/2024,Central African Republic,139,W,12,6,4,8,5,3
Haiti,31/03/2026,Iceland,75,D,11,3,1,4,1,1
Haiti,28/03/2026,Tunisia,44,L,13,2,0,11,5,1
Haiti,18/11/2025,Nicaragua,131,W,9,4,2,9,3,0
Haiti,13/11/2025,Costa Rica,51,W,8,3,1,14,6,0
Haiti,13/10/2025,Honduras,66,L,12,3,0,18,8,3
Haiti,09/10/2025,Nicaragua,131,W,10,6,3,12,3,0
Haiti,09/09/2025,Costa Rica,51,D,11,8,3,24,11,3
Haiti,05/09/2025,Honduras,66,D,15,7,0,14,3,0
Haiti,22/06/2025,USA,16,L,8,3,1,15,5,2
Haiti,19/06/2025,Trinidad and Tobago,102,D,16,3,1,9,2,1
Haiti,15/06/2025,Saudi Arabia,61,L,13,5,0,7,4,1
Haiti,10/06/2025,Curaçao,82,L,21,5,1,10,8,5
